id,name,category,subcategory,color,season,occasion,material,favorite,imageUrl,sourceType,sourceValue,createdAt
a3f9kx12,Black Crop Tank Top,top,tank,black,summer,casual,cotton,false,,,manual,
b7m2nw45,Black Wide-Leg Culottes,bottom,pants,black,summer,casual,linen,false,,,manual,
c1p8qr67,Blue Satin Slip Dress,bottom,dress,blue,summer,date,silk,false,,,manual,
d4s6tv89,Yellow Floral Maxi Dress,bottom,dress,beige,summer,casual,cotton,false,,,manual,
e2x0yz34,Chiffon Maxi Dress,bottom,dress,pink,summer,formal,polyester,false,https://res.cloudinary.com/degz935ay/image/upload/v1781532682/wardrobe-mvp/cnivp2wox8i8h3iikfiq.png,photo,manual,
f5a1bc56,Lurex Halter Sweater Tank,top,tank,navy,autumn,work,polyester,false,,,manual,
g8d3ef78,Twinkle Midi Sweater Skirt,bottom,skirt,navy,autumn,work,wool,false,,,manual,
h6g7hi90,Straight High-Rise Jean,bottom,jeans,blue,all,casual,denim,false,,,manual,
i9j2kl12,Snug Crop Tank Top Panther,top,tank,gray,all,casual,cotton,false,https://res.cloudinary.com/degz935ay/image/upload/v1781532719/wardrobe-mvp/qkhearbiq3irimql2nss.png,photo,manual,
j3m5no34,Snug Crop Tank Top White,top,tank,white,all,casual,cotton,false,,,manual,
k7p0qr56,Rugby Stripe Sweater,top,sweater,green,autumn,casual,cotton,false,,,manual,
l1s4tu78,EveryWear V-Neck T-Shirt,top,tshirt,white,all,casual,cotton,false,,,manual,
m2v6wx90,SoSoft Cropped Mock-Neck Cable Sweater,top,sweater,black,winter,casual,wool,false,https://res.cloudinary.com/degz935ay/image/upload/v1781532744/wardrobe-mvp/tonxgf6olgcintnub1x6.png,photo,manual,
n8y9za12,Extra High-Waisted Super Wide-Leg Pants,bottom,pants,black,all,casual,polyester,false,,,manual,
o4b1cd34,Snug Crop Tank Top Earthen,top,tank,brown,all,casual,cotton,false,,,manual,
